NAME	ORIGINAL SIZE	AFTER RESTRICTING TO DATASET	STATUS	
MALTOSE CATABOLIC PROCESS%GOBP%GO:0000025	1		Rejected!	
NEGATIVE REGULATION OF NEURAL CREST FORMATION%GOBP%GO:0090301	1		Rejected!	
CEREBELLUM MATURATION%GOBP%GO:0021590	1		Rejected!	
POSITIVE REGULATION OF TRANSMEMBRANE TRANSPORT%GOBP%GO:0034764	175	89		
REGULATION OF FERROPTOSIS%GOBP%GO:0110075	5		Rejected!	
FATTY ACID ELONGATION, SATURATED FATTY ACID%GOBP%GO:0019367	7		Rejected!	
RESPONSE TO CARBOHYDRATE%GOBP%GO:0009743	68	41		
CORTICAL MICROTUBULE ORGANIZATION%GOBP%GO:0043622	3		Rejected!	
GLUCOCORTICOID BIOSYNTHETIC PROCESS%GOBP%GO:0006704	6		Rejected!	
REGULATION OF EPITHELIUM REGENERATION%GOBP%GO:1905041	2		Rejected!	
AMMONIUM TRANSMEMBRANE TRANSPORT%GOBP%GO:0072488	11		Rejected!	
STRIATED MUSCLE CONTRACTION%GOBP%GO:0006941	87	31		
L-ALANINE TRANSMEMBRANE TRANSPORT%GOBP%GO:1904557	5		Rejected!	
DEPHOSPHORYLATION%GOBP%GO:0016311	184	131		
CELLULAR RESPONSE TO NERVE GROWTH FACTOR STIMULUS%GOBP%GO:1990090	22		Rejected!	
POSITIVE REGULATION OF PSEUDOPODIUM ASSEMBLY%GOBP%GO:0031274	12		Rejected!	
POSITIVE REGULATION OF VIRAL TRANSCRIPTION%GOBP%GO:0050434	3		Rejected!	
MITOCHONDRIAL PROTEIN PROCESSING%GOBP%GO:0034982	11		Rejected!	
ATP BIOSYNTHETIC PROCESS%GOBP%GO:0006754	76	47		
CELLULAR RESPONSE TO TRICHOSTATIN A%GOBP%GO:0035984	1		Rejected!	
DYNAMIN FAMILY PROTEIN POLYMERIZATION INVOLVED IN MEMBRANE FISSION%GOBP%GO:0003373	2		Rejected!	
NEGATIVE REGULATION OF T-HELPER 17 TYPE IMMUNE RESPONSE%GOBP%GO:2000317	8		Rejected!	
REGULATION OF ENDOTHELIAL TUBE MORPHOGENESIS%GOBP%GO:1901509	5		Rejected!	
POSITIVE REGULATION OF ACTIVIN RECEPTOR SIGNALING PATHWAY%GOBP%GO:0032927	6		Rejected!	
NUCLEIC ACID METABOLIC PROCESS%GOBP%GO:0090304	1695		Rejected!	
SEGMENT SPECIFICATION%GOBP%GO:0007379	6		Rejected!	
MITOCHONDRIAL OUTER MEMBRANE PERMEABILIZATION%GOBP%GO:0097345	8		Rejected!	
NEGATIVE REGULATION OF HAIR CYCLE%GOBP%GO:0042636	1		Rejected!	
POSITIVE REGULATION OF AXON EXTENSION%GOBP%GO:0045773	20		Rejected!	
N-TERMINAL PEPTIDYL-SERINE DIMETHYLATION%GOBP%GO:0035572	1		Rejected!	
REGULATION OF INFLAMMATORY RESPONSE TO ANTIGENIC STIMULUS%GOBP%GO:0002861	25	21		
REGULATION OF DEVELOPMENTAL PROCESS%GOBP%GO:0050793	1783		Rejected!	
AV NODE CELL-BUNDLE OF HIS CELL ADHESION INVOLVED IN CELL COMMUNICATION%GOBP%GO:0086072	1		Rejected!	
INTER-GOLGI CISTERNA VESICLE-MEDIATED TRANSPORT%GOBP%GO:0048219	1		Rejected!	
AMINO SUGAR METABOLIC PROCESS%GOBP%GO:0006040	39	26		
NEUROMUSCULAR JUNCTION DEVELOPMENT%GOBP%GO:0007528	25		Rejected!	
CD4-POSITIVE, ALPHA-BETA T CELL DIFFERENTIATION%GOBP%GO:0043367	31	17		
MHC CLASS IB PROTEIN COMPLEX ASSEMBLY%GOBP%GO:0002398	1		Rejected!	
PHENOL-CONTAINING COMPOUND METABOLIC PROCESS%GOBP%GO:0018958	56		Rejected!	
METANEPHRIC NEPHRON TUBULE MORPHOGENESIS%GOBP%GO:0072282	5		Rejected!	
VASCULATURE DEVELOPMENT%GOBP%GO:0001944	261	168		
POSITIVE REGULATION OF C-C CHEMOKINE RECEPTOR CCR7 SIGNALING PATHWAY%GOBP%GO:1903082	1		Rejected!	
CLOSURE OF OPTIC FISSURE%GOBP%GO:0061386	2		Rejected!	
IMMUNE COMPLEX CLEARANCE BY MONOCYTES AND MACROPHAGES%GOBP%GO:0002436	1		Rejected!	
POSITIVE REGULATION OF MITOCHONDRIAL DNA METABOLIC PROCESS%GOBP%GO:1901860	2		Rejected!	
VALINE TRANSPORT%GOBP%GO:0015829	4		Rejected!	
POSITIVE REGULATION OF OXIDATIVE STRESS-INDUCED NEURON INTRINSIC APOPTOTIC SIGNALING PATHWAY%GOBP%GO:1903378	2		Rejected!	
BUNDLE OF HIS DEVELOPMENT%GOBP%GO:0003166	5		Rejected!	
BUNDLE OF HIS CELL TO PURKINJE MYOCYTE COMMUNICATION%GOBP%GO:0086069	14		Rejected!	
BLOOD VESSEL ENDOTHELIAL CELL FATE COMMITMENT%GOBP%GO:0060846	3		Rejected!	
IRES-DEPENDENT VIRAL TRANSLATIONAL INITIATION%GOBP%GO:0075522	11		Rejected!	
MODIFICATION-DEPENDENT PROTEIN CATABOLIC PROCESS%GOBP%GO:0019941	487		Rejected!	
ESTABLISHMENT OF PROTEIN LOCALIZATION TO CHROMOSOME%GOBP%GO:0070199	15		Rejected!	
NEGATIVE REGULATION OF HUMORAL IMMUNE RESPONSE%GOBP%GO:0002921	15		Rejected!	
RESPONSE TO CARBON MONOXIDE%GOBP%GO:0034465	1		Rejected!	
DCT CELL DIFFERENTIATION%GOBP%GO:0072069	1		Rejected!	
NEGATIVE REGULATION OF INTEGRIN BIOSYNTHETIC PROCESS%GOBP%GO:0045720	2		Rejected!	
RECEPTOR INTERNALIZATION%GOBP%GO:0031623	62	45		
REGULATION OF DENDRITIC SPINE MORPHOGENESIS%GOBP%GO:0061001	31	19		
INNER EAR RECEPTOR CELL DIFFERENTIATION%GOBP%GO:0060113	17		Rejected!	
POSITIVE REGULATION OF SYNAPTIC TRANSMISSION%GOBP%GO:0050806	80	35		
XMP METABOLIC PROCESS%GOBP%GO:0097292	4		Rejected!	
POSITIVE REGULATION OF CAMP-MEDIATED SIGNALING%GOBP%GO:0043950	7		Rejected!	
EMBRYONIC DIGESTIVE TRACT MORPHOGENESIS%GOBP%GO:0048557	9		Rejected!	
REGULATION OF MACROAUTOPHAGY%GOBP%GO:0016241	146	130		
DEPHOSPHORYLATION OF RNA POLYMERASE II C-TERMINAL DOMAIN%GOBP%GO:0070940	9		Rejected!	
DIAPEDESIS%GOBP%GO:0050904	2		Rejected!	
NERVOUS SYSTEM PROCESS%GOBP%GO:0050877	775	186		
GPI ANCHOR BIOSYNTHETIC PROCESS%GOBP%GO:0006506	31	26		
MATERNAL-TO-ZYGOTIC TRANSITION OF GENE EXPRESSION%GOBP%GO:0160021	3		Rejected!	
REGULATION OF MICROVILLUS ORGANIZATION%GOBP%GO:0032530	9		Rejected!	
NK T CELL ACTIVATION%GOBP%GO:0051132	1		Rejected!	
MITOTIC SPINDLE DISASSEMBLY%GOBP%GO:0051228	2		Rejected!	
TOLL-LIKE RECEPTOR 2 SIGNALING PATHWAY%GOBP%GO:0034134	5		Rejected!	
PLANAR CELL POLARITY PATHWAY INVOLVED IN NEURAL TUBE CLOSURE%GOBP%GO:0090179	4		Rejected!	
PROTEIN DEGLYCATION%GOBP%GO:0036525	2		Rejected!	
CD4-POSITIVE, CD25-POSITIVE, ALPHA-BETA REGULATORY T CELL DIFFERENTIATION%GOBP%GO:0002361	2		Rejected!	
NEGATIVE REGULATION OF MITOPHAGY%GOBP%GO:1901525	2		Rejected!	
HEART GROWTH%GOBP%GO:0060419	11		Rejected!	
MEIOTIC DNA RECOMBINASE ASSEMBLY%GOBP%GO:0000707	1		Rejected!	
LYSOSOME ORGANIZATION%GOBP%GO:0007040	88	70		
REGULATION OF ENDOTHELIAL CELL CHEMOTAXIS TO FIBROBLAST GROWTH FACTOR%GOBP%GO:2000544	7		Rejected!	
TELOMERASE RNA STABILIZATION%GOBP%GO:0090669	4		Rejected!	
NEGATIVE REGULATION OF BILE ACID BIOSYNTHETIC PROCESS%GOBP%GO:0070858	2		Rejected!	
NUCLEOTIDE BIOSYNTHETIC PROCESS%GOBP%GO:0009165	215	139		
MITOCHONDRION MIGRATION ALONG ACTIN FILAMENT%GOBP%GO:0034642	1		Rejected!	
RESPONSE TO DNA INTEGRITY CHECKPOINT SIGNALING%GOBP%GO:0072402	6		Rejected!	
POSITIVE REGULATION OF PROTEIN TYROSINE KINASE ACTIVITY%GOBP%GO:0061098	39	25		
RESPONSE TO COCAINE%GOBP%GO:0042220	7		Rejected!	
ACETATE ESTER TRANSPORT%GOBP%GO:1901374	4		Rejected!	
POSITIVE REGULATION OF NATURAL KILLER CELL MEDIATED CYTOTOXICITY%GOBP%GO:0045954	22		Rejected!	
REGULATION OF POLYSACCHARIDE BIOSYNTHETIC PROCESS%GOBP%GO:0032885	32	25		
REGULATION OF G0 TO G1 TRANSITION%GOBP%GO:0070316	34	27		
GLOMERULAR MESANGIUM DEVELOPMENT%GOBP%GO:0072109	5		Rejected!	
L-GLUTAMATE IMPORT%GOBP%GO:0051938	16		Rejected!	
RESPONSE TO HYDROGEN PEROXIDE%GOBP%GO:0042542	52	44		
REGULATION OF PRIMARY MIRNA PROCESSING%GOBP%GO:2000634	3		Rejected!	
POSITIVE REGULATION OF PROTEIN LOCALIZATION TO LYSOSOME%GOBP%GO:0150032	2		Rejected!	
BLOOD VESSEL DEVELOPMENT%GOBP%GO:0001568	247	156		
CELL-CELL SIGNALING BY WNT%GOBP%GO:0198738	105	70		
MEDIUM-CHAIN FATTY ACID METABOLIC PROCESS%GOBP%GO:0051791	15		Rejected!	
NEGATIVE REGULATION OF MALE GONAD DEVELOPMENT%GOBP%GO:2000019	1		Rejected!	
METHIONYL-TRNA AMINOACYLATION%GOBP%GO:0006431	2		Rejected!	
PURINE-CONTAINING COMPOUND CATABOLIC PROCESS%GOBP%GO:0072523	45	29		
RESPONSE TO CHLOROQUINE%GOBP%GO:1902349	1		Rejected!	
POSITIVE REGULATION OF T-CIRCLE FORMATION%GOBP%GO:1904431	3		Rejected!	
CORNIFIED ENVELOPE ASSEMBLY%GOBP%GO:1903575	4		Rejected!	
POSITIVE REGULATION OF RESPONSE TO TYPE II INTERFERON%GOBP%GO:0060332	4		Rejected!	
PROPIONYL-COA BIOSYNTHETIC PROCESS%GOBP%GO:1902860	1		Rejected!	
PYRIDINE-CONTAINING COMPOUND METABOLIC PROCESS%GOBP%GO:0072524	67	45		
PEPTIDYL-GLUTAMIC ACID MODIFICATION%GOBP%GO:0018200	27		Rejected!	
REGULATION OF CARBOHYDRATE METABOLIC PROCESS%GOBP%GO:0006109	130	96		
MEMBRANE DEPOLARIZATION%GOBP%GO:0051899	28		Rejected!	
CELLULAR RESPONSE TO ORGANIC CYCLIC COMPOUND%GOBP%GO:0071407	296	186		
REGULATION OF MESODERMAL CELL FATE SPECIFICATION%GOBP%GO:0042661	3		Rejected!	
PROTEIN LOCALIZATION TO NUCLEAR INNER MEMBRANE%GOBP%GO:0036228	3		Rejected!	
PROTOPORPHYRINOGEN IX METABOLIC PROCESS%GOBP%GO:0046501	2		Rejected!	
WALKING BEHAVIOR%GOBP%GO:0090659	3		Rejected!	
RESPONSE TO HYPOXIA%GOBP%GO:0001666	143	98		
POSITIVE REGULATION OF DNA N-GLYCOSYLASE ACTIVITY%GOBP%GO:1902546	1		Rejected!	
AXONEMAL CENTRAL APPARATUS ASSEMBLY%GOBP%GO:1904158	6		Rejected!	
LATERAL MESODERM MORPHOGENESIS%GOBP%GO:0048369	1		Rejected!	
POSITIVE REGULATION OF SMAD PROTEIN SIGNAL TRANSDUCTION%GOBP%GO:0060391	18		Rejected!	
TORC1 COMPLEX ASSEMBLY%GOBP%GO:1905669	1		Rejected!	
LIPOPROTEIN LOCALIZATION%GOBP%GO:0044872	13		Rejected!	
CHROMOSOME PASSENGER COMPLEX LOCALIZATION TO SPINDLE MIDZONE%GOBP%GO:0035853	1		Rejected!	
POSTNATAL OLFACTORY BULB INTERNEURON MIGRATION%GOBP%GO:0021827	2		Rejected!	
POSITIVE REGULATION OF RESPONSE TO STIMULUS%GOBP%GO:0048584	1853		Rejected!	
REGULATION OF MACROPHAGE APOPTOTIC PROCESS%GOBP%GO:2000109	6		Rejected!	
REGULATION OF PROTEIN PROCESSING INVOLVED IN PROTEIN TARGETING TO MITOCHONDRION%GOBP%GO:1903216	1		Rejected!	
NEGATIVE REGULATION OF LIPID TRANSPORTER ACTIVITY%GOBP%GO:0110114	1		Rejected!	
PURINE RIBONUCLEOTIDE CATABOLIC PROCESS%GOBP%GO:0009154	29	18		
CELL MOTILITY%GOBP%GO:0048870	752		Rejected!	
NEURAL CREST FORMATION%GOBP%GO:0014029	11		Rejected!	
NEGATIVE REGULATION OF CHROMOSOME SEPARATION%GOBP%GO:1905819	31	16		
TRANSLATIONAL ATTENUATION%GOBP%GO:0009386	2		Rejected!	
NUCLEOLAR CHROMATIN ORGANIZATION%GOBP%GO:1990700	8		Rejected!	
REGULATION OF VITAMIN D 24-HYDROXYLASE ACTIVITY%GOBP%GO:0010979	3		Rejected!	
REGULATION OF CYTOPLASMIC TRANSLATIONAL ELONGATION%GOBP%GO:1900247	8		Rejected!	
POSITIVE REGULATION OF CYTOSOLIC CALCIUM ION CONCENTRATION%GOBP%GO:0007204	135	50		
ENTEROENDOCRINE CELL DIFFERENTIATION%GOBP%GO:0035883	13		Rejected!	
RESPONSE TO AXON INJURY%GOBP%GO:0048678	20		Rejected!	
PHOSPHATE ION TRANSMEMBRANE TRANSPORT%GOBP%GO:0035435	11		Rejected!	
PSEUDOPODIUM ORGANIZATION%GOBP%GO:0031268	3		Rejected!	
REGULATION OF DOPAMINE BIOSYNTHETIC PROCESS%GOBP%GO:1903179	2		Rejected!	
REGULATION OF ACTIN CYTOSKELETON ORGANIZATION%GOBP%GO:0032956	289	196		
REGULATION OF INTERLEUKIN-33 PRODUCTION%GOBP%GO:0150127	1		Rejected!	
MONONUCLEAR CELL DIFFERENTIATION%GOBP%GO:1903131	195	118		
POSITIVE REGULATION OF PROTEIN CATABOLIC PROCESS IN THE VACUOLE%GOBP%GO:1904352	6		Rejected!	
MYOTUBE DIFFERENTIATION%GOBP%GO:0014902	39	20		
NEGATIVE REGULATION OF DENDRITIC CELL APOPTOTIC PROCESS%GOBP%GO:2000669	7		Rejected!	
DOPAMINERGIC NEURON AXON GUIDANCE%GOBP%GO:0036514	1		Rejected!	
NEGATIVE REGULATION OF SMAD PROTEIN COMPLEX ASSEMBLY%GOBP%GO:0010991	4		Rejected!	
POSITIVE REGULATION OF VASCULATURE DEVELOPMENT%GOBP%GO:1904018	120	82		
NEGATIVE REGULATION OF EPIDERMAL GROWTH FACTOR RECEPTOR SIGNALING PATHWAY%GOBP%GO:0042059	24	20		
SLOW AXONAL TRANSPORT%GOBP%GO:1990832	1		Rejected!	
JNK CASCADE%GOBP%GO:0007254	30	23		
POSITIVE REGULATION OF TRANSCRIPTION FACTOR CATABOLIC PROCESS%GOBP%GO:1901485	1		Rejected!	
POSITIVE REGULATION OF MAINTENANCE OF SISTER CHROMATID COHESION%GOBP%GO:0034093	5		Rejected!	
PYRIMIDINE RIBONUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS%GOBP%GO:0009209	5		Rejected!	
POSITIVE REGULATION OF STRAND INVASION%GOBP%GO:0098530	1		Rejected!	
CELLULAR MODIFIED AMINO ACID CATABOLIC PROCESS%GOBP%GO:0042219	18		Rejected!	
NEGATIVE REGULATION OF TROPHOBLAST CELL MIGRATION%GOBP%GO:1901164	6		Rejected!	
REGULATION OF TRANSLATION IN RESPONSE TO ENDOPLASMIC RETICULUM STRESS%GOBP%GO:0036490	8		Rejected!	
POSITIVE REGULATION OF AUTOPHAGY%GOBP%GO:0010508	140	119		
T FOLLICULAR HELPER CELL DIFFERENTIATION%GOBP%GO:0061470	4		Rejected!	
CHONDROCYTE PROLIFERATION%GOBP%GO:0035988	5		Rejected!	
EMBRYONIC PROCESS INVOLVED IN FEMALE PREGNANCY%GOBP%GO:0060136	2		Rejected!	
SPHINGOSINE METABOLIC PROCESS%GOBP%GO:0006670	20		Rejected!	
PEPTIDYL-GLUTAMATE ADP-DERIBOSYLATION%GOBP%GO:0140291	3		Rejected!	
SECRETORY GRANULE LOCALIZATION%GOBP%GO:0032252	7		Rejected!	
REGULATION OF ENDOTHELIAL CELL CHEMOTAXIS%GOBP%GO:2001026	21		Rejected!	
HEPATOCYTE PROLIFERATION%GOBP%GO:0072574	4		Rejected!	
TRIGLYCERIDE ACYL-CHAIN REMODELING%GOBP%GO:0036153	1		Rejected!	
REGULATION OF BLOOD VESSEL REMODELING%GOBP%GO:0060312	6		Rejected!	
GLYCOPHAGY%GOBP%GO:0061723	2		Rejected!	
MATURATION OF SSU-RRNA%GOBP%GO:0030490	46	44		
INOSINE CATABOLIC PROCESS%GOBP%GO:0006148	2		Rejected!	
REGULATION OF GLUTAMATE METABOLIC PROCESS%GOBP%GO:2000211	2		Rejected!	
UTERUS MORPHOGENESIS%GOBP%GO:0061038	2		Rejected!	
POSITIVE REGULATION OF ADIPOSE TISSUE DEVELOPMENT%GOBP%GO:1904179	8		Rejected!	
POSITIVE REGULATION OF TRANSCRIPTION FROM RNA POLYMERASE II PROMOTER IN RESPONSE TO ENDOPLASMIC RETICULUM STRESS%GOBP%GO:1990440	11		Rejected!	
REGULATION OF MIRNA-MEDIATED GENE SILENCING%GOBP%GO:0060964	32	19		
POSITIVE REGULATION OF BLEB ASSEMBLY%GOBP%GO:1904172	2		Rejected!	
PEPTIDYL-SERINE PHOSPHORYLATION%GOBP%GO:0018105	160	124		
REGULATION OF NEUROGENESIS%GOBP%GO:0050767	219	129		
NEGATIVE REGULATION OF GROWTH%GOBP%GO:0045926	177	113		
POSITIVE REGULATION OF ORGANIC ACID TRANSPORT%GOBP%GO:0032892	22		Rejected!	
NEGATIVE REGULATION OF PROTEIN AUTOPHOSPHORYLATION%GOBP%GO:0031953	10		Rejected!	
NEGATIVE REGULATION OF ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE OR POLYSACCHARIDE ANTIGEN VIA MHC CLASS II%GOBP%GO:0002581	3		Rejected!	
NEGATIVE REGULATION OF AXON EXTENSION INVOLVED IN REGENERATION%GOBP%GO:0048692	1		Rejected!	
SYMBIONT INTRACELLULAR PROTEIN TRANSPORT IN HOST%GOBP%GO:0030581	2		Rejected!	
NEGATIVE REGULATION OF CELL VOLUME%GOBP%GO:0045794	5		Rejected!	
MEIOTIC DNA DOUBLE-STRAND BREAK PROCESSING%GOBP%GO:0000706	2		Rejected!	
MANNOSYLATION%GOBP%GO:0097502	23	16		
ACROSOME ASSEMBLY%GOBP%GO:0001675	21		Rejected!	
CELLULAR RESPONSE TO TUMOR CELL%GOBP%GO:0071228	4		Rejected!	
REGULATION OF VASCULAR ASSOCIATED SMOOTH MUSCLE CELL APOPTOTIC PROCESS%GOBP%GO:1905459	7		Rejected!	
REGULATION OF MAINTENANCE OF MITOTIC SISTER CHROMATID COHESION%GOBP%GO:0034182	8		Rejected!	
CALCIUM ION TRANSPORT INTO CYTOSOL%GOBP%GO:0060402	10		Rejected!	
NEGATIVE REGULATION OF NITRIC OXIDE MEDIATED SIGNAL TRANSDUCTION%GOBP%GO:0010751	2		Rejected!	
NEGATIVE REGULATION OF CHROMATIN ORGANIZATION%GOBP%GO:1905268	6		Rejected!	
NEGATIVE REGULATION OF POTASSIUM ION TRANSMEMBRANE TRANSPORT%GOBP%GO:1901380	21		Rejected!	
ATRIAL SEPTUM PRIMUM MORPHOGENESIS%GOBP%GO:0003289	4		Rejected!	
ISOLEUCINE METABOLIC PROCESS%GOBP%GO:0006549	6		Rejected!	
REGULATION OF GLUCOCORTICOID BIOSYNTHETIC PROCESS%GOBP%GO:0031946	7		Rejected!	
NEGATIVE REGULATION OF GONAD DEVELOPMENT%GOBP%GO:1905940	2		Rejected!	
POSITIVE REGULATION OF T CELL EXTRAVASATION%GOBP%GO:2000409	2		Rejected!	
UTERUS DEVELOPMENT%GOBP%GO:0060065	6		Rejected!	
NEGATIVE REGULATION OF GROWTH HORMONE RECEPTOR SIGNALING PATHWAY%GOBP%GO:0060400	3		Rejected!	
NEUROBLAST DIVISION IN SUBVENTRICULAR ZONE%GOBP%GO:0021849	3		Rejected!	
AMPA GLUTAMATE RECEPTOR CLUSTERING%GOBP%GO:0097113	4		Rejected!	
REGULATION OF TRNA CATABOLIC PROCESS%GOBP%GO:1902370	3		Rejected!	
VASCULAR TRANSPORT%GOBP%GO:0010232	86	52		
L-ALPHA-AMINO ACID TRANSMEMBRANE TRANSPORT%GOBP%GO:1902475	43	26		
RIBOFLAVIN TRANSPORT%GOBP%GO:0032218	4		Rejected!	
PERIPHERAL NERVOUS SYSTEM NEURON DIFFERENTIATION%GOBP%GO:0048934	6		Rejected!	
AMINO ACID METABOLIC PROCESS%GOBP%GO:0006520	238	131		
POST-TRANSCRIPTIONAL TETHERING OF RNA POLYMERASE II GENE DNA AT NUCLEAR PERIPHERY%GOBP%GO:0000973	3		Rejected!	
INTERLEUKIN-15-MEDIATED SIGNALING PATHWAY%GOBP%GO:0035723	11		Rejected!	
HEXADECANAL METABOLIC PROCESS%GOBP%GO:0046458	1		Rejected!	
HEME EXPORT%GOBP%GO:0097037	2		Rejected!	
POSITIVE REGULATION OF STEM CELL DIFFERENTIATION%GOBP%GO:2000738	18		Rejected!	
POSITIVE REGULATION OF NEUTROPHIL ACTIVATION%GOBP%GO:1902565	4		Rejected!	
POSITIVE REGULATION OF SKELETAL MUSCLE TISSUE DEVELOPMENT%GOBP%GO:0048643	10		Rejected!	
PEPTIDYL-SERINE OCTANOYLATION%GOBP%GO:0018191	1		Rejected!	
REGULATION OF CYTOKINESIS%GOBP%GO:0032465	85	53		
FARNESYL DIPHOSPHATE METABOLIC PROCESS%GOBP%GO:0045338	5		Rejected!	
GLUCONEOGENESIS%GOBP%GO:0006094	33	23		
MITOTIC SPINDLE ASSEMBLY%GOBP%GO:0090307	45	32		
POSITIVE REGULATION OF HYDROGEN PEROXIDE METABOLIC PROCESS%GOBP%GO:0010726	4		Rejected!	
ARGININE CATABOLIC PROCESS TO ORNITHINE%GOBP%GO:0019547	2		Rejected!	
VESICLE DOCKING INVOLVED IN EXOCYTOSIS%GOBP%GO:0006904	37	28		
POLYOL BIOSYNTHETIC PROCESS%GOBP%GO:0046173	36	28		
GDP METABOLIC PROCESS%GOBP%GO:0046710	2		Rejected!	
KETONE BODY METABOLIC PROCESS%GOBP%GO:1902224	7		Rejected!	
GLUTAMINE TRANSPORT%GOBP%GO:0006868	9		Rejected!	
POSITIVE REGULATION OF STRESS GRANULE ASSEMBLY%GOBP%GO:0062029	2		Rejected!	
POSITIVE REGULATION OF ALPHA-BETA T CELL ACTIVATION%GOBP%GO:0046635	52	37		
PROTEIN MATURATION BY IRON-SULFUR CLUSTER TRANSFER%GOBP%GO:0097428	15		Rejected!	
REGULATION OF MESENCHYMAL CELL PROLIFERATION%GOBP%GO:0010464	15		Rejected!	
REGULATION OF EOSINOPHIL MIGRATION%GOBP%GO:2000416	5		Rejected!	
REGULATION OF GROWTH RATE%GOBP%GO:0040009	3		Rejected!	
TELOMERE MAINTENANCE VIA TELOMERE TRIMMING%GOBP%GO:0090737	11		Rejected!	
REGULATION OF SPERM CAPACITATION%GOBP%GO:1902490	4		Rejected!	
REGULATION OF CELL FATE SPECIFICATION%GOBP%GO:0042659	18	15		
REGULATION OF ANTIGEN PROCESSING AND PRESENTATION OF PEPTIDE OR POLYSACCHARIDE ANTIGEN VIA MHC CLASS II%GOBP%GO:0002580	5		Rejected!	
REGULATION OF MITOCHONDRIAL FISSION%GOBP%GO:0090140	28	23		
KININ CASCADE%GOBP%GO:0002254	2		Rejected!	
FATTY ACID BIOSYNTHETIC PROCESS%GOBP%GO:0006633	93	53		
REGULATION OF TELOMERE CAPPING%GOBP%GO:1904353	25	20		
GRANZYME-MEDIATED APOPTOTIC SIGNALING PATHWAY%GOBP%GO:0008626	1		Rejected!	
EPITHELIAL CELL APOPTOTIC PROCESS%GOBP%GO:1904019	11		Rejected!	
NEGATIVE REGULATION OF METANEPHRIC COMMA-SHAPED BODY MORPHOGENESIS%GOBP%GO:2000007	1		Rejected!	
PHOSPHOLIPASE C-ACTIVATING SEROTONIN RECEPTOR SIGNALING PATHWAY%GOBP%GO:0007208	2		Rejected!	
MEDULLARY RETICULAR FORMATION DEVELOPMENT%GOBP%GO:0021723	1		Rejected!	
SUPRAMOLECULAR FIBER ORGANIZATION%GOBP%GO:0097435	485		Rejected!	
CALCIUM ION TRANSMEMBRANE IMPORT INTO CYTOSOL%GOBP%GO:0097553	90	34		
POSITIVE REGULATION OF INTERLEUKIN-4 PRODUCTION%GOBP%GO:0032753	19		Rejected!	
POSITIVE REGULATION OF PROTEIN DEPHOSPHORYLATION%GOBP%GO:0035307	39	32		
POSITIVE REGULATION OF NEURON PROJECTION REGENERATION%GOBP%GO:0070572	4		Rejected!	
NEUTROPHIL MEDIATED CYTOTOXICITY%GOBP%GO:0070942	4		Rejected!	
MESENCHYMAL CELL PROLIFERATION INVOLVED IN URETERIC BUD DEVELOPMENT%GOBP%GO:0072138	2		Rejected!	
LEUKOTRIENE A4 METABOLIC PROCESS%GOBP%GO:1901751	2		Rejected!	
PROTEIN-DNA COMPLEX DISASSEMBLY%GOBP%GO:0032986	21	17		
OLFACTORY BEHAVIOR%GOBP%GO:0042048	2		Rejected!	
AROMATIC AMINO ACID METABOLIC PROCESS%GOBP%GO:0009072	24		Rejected!	
KINETOCHORE ASSEMBLY%GOBP%GO:0051382	10		Rejected!	
NEGATIVE REGULATION OF VASCULAR ASSOCIATED SMOOTH MUSCLE CELL APOPTOTIC PROCESS%GOBP%GO:1905460	2		Rejected!	
MITOCHONDRIAL THREONYL-TRNA AMINOACYLATION%GOBP%GO:0070159	1		Rejected!	
VENTRICULAR CARDIAC MYOFIBRIL ASSEMBLY%GOBP%GO:0055005	2		Rejected!	
NEGATIVE REGULATION OF PROTEIN-CONTAINING COMPLEX ASSEMBLY%GOBP%GO:0031333	112	83		
MEIOSIS II%GOBP%GO:0007135	11		Rejected!	
POSITIVE REGULATION OF PRO-T CELL DIFFERENTIATION%GOBP%GO:2000176	1		Rejected!	
NEGATIVE REGULATION OF CALCIUM ION EXPORT ACROSS PLASMA MEMBRANE%GOBP%GO:1905913	2		Rejected!	
GLUTATHIONE TRANSPORT%GOBP%GO:0034635	6		Rejected!	
RNA DESTABILIZATION%GOBP%GO:0050779	79	68		
HETEROTRIMERIC G-PROTEIN COMPLEX ASSEMBLY%GOBP%GO:1902605	1		Rejected!	
POSITIVE REGULATION OF TERMINATION OF DNA-TEMPLATED TRANSCRIPTION%GOBP%GO:0060566	1		Rejected!	
REGULATION OF INTRACELLULAR SIGNAL TRANSDUCTION%GOBP%GO:1902531	1443		Rejected!	
NEGATIVE REGULATION OF PROTEIN K63-LINKED UBIQUITINATION%GOBP%GO:1900045	8		Rejected!	
METANEPHRIC PART OF URETERIC BUD DEVELOPMENT%GOBP%GO:0035502	2		Rejected!	
POSITIVE REGULATION OF LAMELLIPODIUM ORGANIZATION%GOBP%GO:1902745	32	26		
POSITIVE REGULATION OF PROTEIN LOCALIZATION TO CELL CORTEX%GOBP%GO:1904778	5		Rejected!	
LIPOXYGENASE PATHWAY%GOBP%GO:0019372	8		Rejected!	
CENTRAL NERVOUS SYSTEM PROJECTION NEURON AXONOGENESIS%GOBP%GO:0021952	14		Rejected!	
NEGATIVE REGULATION OF ERAD PATHWAY%GOBP%GO:1904293	6		Rejected!	
